epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.503608,0.440476,0.252218,0.233494,0.222526,0.555224,0.354733,0.314113,0.295540
1,0.932939,0.654762,0.410907,0.432321,0.419175,0.665672,0.427500,0.475986,0.449650
2,0.535940,0.805060,0.771362,0.683853,0.700506,0.656716,0.685317,0.508343,0.514384
3,0.230694,0.925595,0.911473,0.861206,0.882157,0.614925,0.593561,0.606061,0.583580
4,0.131614,0.967262,0.972095,0.953267,0.961948,0.644776,0.607131,0.617806,0.605210
5,0.081227,0.977679,0.978156,0.972328,0.975175,0.650746,0.555826,0.485586,0.504583
6,0.050844,0.986607,0.987533,0.985210,0.986358,0.671642,0.645789,0.534395,0.558572
7,0.028423,0.994048,0.991056,0.995152,0.993080,0.665672,0.583351,0.524117,0.540589
8,0.021638,0.995536,0.998201,0.991524,0.994793,0.686567,0.637319,0.573478,0.596559
9,0.016116,0.994048,0.991056,0.995152,0.993080,0.668657,0.624090,0.543117,0.571192
10,0.014073,0.994048,0.992835,0.993342,0.993067,0.671642,0.631682,0.524276,0.551564
11,0.012695,0.992560,0.992687,0.990312,0.991485,0.674627,0.621564,0.546554,0.573473
12,0.010360,0.994048,0.992835,0.993342,0.993067,0.674627,0.611223,0.542099,0.565986
13,0.010270,0.992560,0.990416,0.992736,0.991562,0.680597,0.632389,0.551939,0.578494
14,0.008833,0.994048,0.993321,0.992727,0.993002,0.680597,0.627380,0.547735,0.574365
15,0.010780,0.994048,0.995109,0.990918,0.992989,0.680597,0.620928,0.550465,0.575259
16,0.008564,0.995536,0.993544,0.996372,0.994897,0.680597,0.639183,0.551939,0.579413
17,0.009839,0.992560,0.990342,0.992121,0.991222,0.683582,0.636665,0.546707,0.572954
18,0.009253,0.992560,0.992128,0.990312,0.991210,0.680597,0.627268,0.545500,0.570828
19,0.007882,0.994048,0.993342,0.993342,0.993342,0.674627,0.618376,0.538952,0.563484
20,0.009889,0.994048,0.993321,0.992727,0.993002,0.677612,0.622842,0.536465,0.561448
21,0.007233,0.997024,0.994643,0.998788,0.996691,0.677612,0.619683,0.549767,0.574203
22,0.008953,0.994048,0.991126,0.995766,0.993392,0.674627,0.621570,0.535257,0.560187
23,0.010147,0.994048,0.995109,0.990918,0.992989,0.674627,0.618986,0.539426,0.563958
24,0.009384,0.991071,0.989706,0.989706,0.989706,0.680597,0.632459,0.552450,0.578710
