epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.440310,0.437819,0.182349,0.210545,0.178544,0.602041,0.458542,0.370243,0.337240
1,0.970515,0.650767,0.464953,0.417648,0.411661,0.595238,0.436270,0.414083,0.405873
2,0.659243,0.771721,0.776410,0.579385,0.603056,0.608844,0.444753,0.446707,0.418548
3,0.294094,0.909710,0.872280,0.819117,0.841024,0.676871,0.600886,0.498752,0.514591
4,0.125323,0.965928,0.947988,0.941391,0.944454,0.680272,0.629563,0.505289,0.512309
5,0.053728,0.991482,0.989548,0.971564,0.979601,0.659864,0.575386,0.488700,0.503265
6,0.028289,0.991482,0.990986,0.995943,0.993431,0.683673,0.483513,0.449994,0.455966
7,0.039236,0.991482,0.996236,0.990553,0.993316,0.707483,0.548481,0.521076,0.521097
8,0.057556,0.984668,0.975735,0.986061,0.980674,0.666667,0.522604,0.430808,0.449273
9,0.039608,0.991482,0.983112,0.989810,0.986224,0.697279,0.538520,0.495061,0.494209
10,0.038673,0.984668,0.982159,0.963927,0.972103,0.663265,0.568188,0.499994,0.515634
11,0.051611,0.984668,0.982301,0.972137,0.976970,0.663265,0.566879,0.542412,0.541622
12,0.031991,0.989779,0.989241,0.988443,0.988814,0.642857,0.561439,0.471046,0.493120
13,0.045652,0.988075,0.979324,0.989245,0.984046,0.612245,0.634890,0.419914,0.448127
14,0.128459,0.957411,0.942779,0.929409,0.935838,0.622449,0.501445,0.477549,0.477471
15,0.129020,0.947189,0.916467,0.908591,0.912245,0.653061,0.674563,0.475256,0.488865
16,0.049148,0.984668,0.988590,0.979958,0.984078,0.673469,0.523045,0.467803,0.481549
17,0.014859,0.993186,0.992340,0.994269,0.993262,0.656463,0.510079,0.454894,0.459506
18,0.010183,0.996593,0.998325,0.998325,0.998325,0.683673,0.578641,0.485811,0.486816
19,0.006566,0.998296,0.999037,0.999294,0.999163,0.687075,0.573315,0.489526,0.501638
20,0.006379,0.996593,0.998325,0.998325,0.998325,0.704082,0.565955,0.494972,0.507186
21,0.004015,0.996593,0.998325,0.998325,0.998325,0.697279,0.542945,0.493154,0.503313
22,0.004032,0.996593,0.998325,0.998325,0.998325,0.700680,0.563791,0.494566,0.506284
23,0.003094,0.998296,0.999037,0.999294,0.999163,0.700680,0.563561,0.498710,0.508242
24,0.003508,0.996593,0.998325,0.998325,0.998325,0.700680,0.559474,0.498710,0.507106
25,0.003664,0.998296,0.999037,0.999294,0.999163,0.700680,0.559474,0.498710,0.507106
26,0.003662,0.998296,0.999297,0.999031,0.999162,0.704082,0.560105,0.500122,0.508006
27,0.003561,0.996593,0.998325,0.998325,0.998325,0.704082,0.560105,0.500122,0.508006
28,0.003151,0.996593,0.998325,0.998325,0.998325,0.704082,0.560947,0.500625,0.508822
29,0.003527,0.996593,0.998325,0.998325,0.998325,0.704082,0.560105,0.500122,0.508006
30,0.003578,0.998296,0.999037,0.999294,0.999163,0.704082,0.560105,0.500122,0.508006
31,0.007805,0.996593,0.998325,0.998325,0.998325,0.707483,0.561555,0.502038,0.509722
