epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.365411,0.475298,0.333323,0.261269,0.253877,0.568027,0.319604,0.319871,0.288431
1,0.878688,0.695060,0.459435,0.464585,0.452213,0.683673,0.616281,0.477471,0.487161
2,0.481698,0.831346,0.769971,0.698570,0.719389,0.700680,0.650443,0.473847,0.472491
3,0.232332,0.940375,0.945972,0.886571,0.910683,0.659864,0.560893,0.569902,0.550117
4,0.128657,0.964225,0.962501,0.933118,0.945806,0.622449,0.523331,0.475276,0.439347
5,0.142600,0.954003,0.912390,0.885729,0.898287,0.666667,0.563193,0.554998,0.550819
6,0.047246,0.986371,0.988226,0.981397,0.984670,0.639456,0.646526,0.547032,0.559053
7,0.021778,0.994889,0.996058,0.993041,0.994528,0.663265,0.606111,0.558396,0.576036
8,0.014599,0.998296,0.999311,0.997436,0.998363,0.680272,0.627170,0.566107,0.570678
9,0.007693,0.998296,0.997475,0.999308,0.998381,0.687075,0.689886,0.525656,0.566964
10,0.008143,0.998296,0.999311,0.997436,0.998363,0.693878,0.679752,0.559762,0.582484
11,0.005589,0.998296,0.999311,0.997436,0.998363,0.683673,0.658768,0.539695,0.560333
12,0.004865,0.996593,0.996744,0.996744,0.996744,0.693878,0.669739,0.544434,0.567357
13,0.004275,0.996593,0.996744,0.996744,0.996744,0.693878,0.675302,0.546400,0.573050
14,0.003711,0.998296,0.999311,0.997436,0.998363,0.690476,0.670929,0.539383,0.566092
15,0.003468,0.996593,0.996744,0.996744,0.996744,0.690476,0.670929,0.539383,0.566092
16,0.003654,0.998296,0.997475,0.999308,0.998381,0.697279,0.678879,0.547171,0.573496
17,0.006061,0.998296,0.999311,0.997436,0.998363,0.700680,0.685826,0.547335,0.575264
18,0.007832,0.996593,0.996744,0.996744,0.996744,0.680272,0.658618,0.540744,0.561364
19,0.003501,0.998296,0.997475,0.999308,0.998381,0.697279,0.681185,0.550351,0.577827
20,0.004421,0.998296,0.999311,0.997436,0.998363,0.704082,0.683750,0.548073,0.575997
21,0.004923,0.996593,0.996744,0.996744,0.996744,0.697279,0.674754,0.548991,0.573697
22,0.003462,0.998296,0.997475,0.999308,0.998381,0.714286,0.689947,0.555878,0.581846
23,0.003425,0.996593,0.996744,0.996744,0.996744,0.714286,0.689947,0.555878,0.581846
24,0.002933,0.998296,0.999311,0.997436,0.998363,0.710884,0.688370,0.553894,0.580176
25,0.003694,0.998296,0.999311,0.997436,0.998363,0.707483,0.682285,0.547484,0.573312
26,0.003090,0.998296,0.997475,0.999308,0.998381,0.700680,0.675101,0.549009,0.572375
27,0.002797,0.998296,0.997475,0.999308,0.998381,0.707483,0.679022,0.548090,0.573265
28,0.003982,0.996593,0.996744,0.996744,0.996744,0.700680,0.675101,0.549009,0.572375
29,0.002794,0.998296,0.997475,0.999308,0.998381,0.707483,0.683523,0.552516,0.578460
30,0.003472,0.998296,0.999311,0.997436,0.998363,0.710884,0.688370,0.553894,0.580176
