epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.214103,0.457526,0.288800,0.256488,0.251932,0.627976,0.426979,0.380578,0.378226
1,0.102055,0.703428,0.508505,0.500559,0.493215,0.592262,0.643195,0.458442,0.477195
2,0.045700,0.830104,0.822332,0.777991,0.794826,0.580357,0.479334,0.425625,0.388170
3,0.017014,0.926975,0.927129,0.919546,0.923033,0.648810,0.588883,0.466641,0.481848
4,0.004727,0.983607,0.974032,0.975274,0.974639,0.636905,0.461594,0.473953,0.453770
5,0.004091,0.985097,0.976892,0.981514,0.979041,0.672619,0.476904,0.480635,0.461275
6,0.003310,0.986587,0.977721,0.990105,0.983387,0.648810,0.488052,0.465564,0.471157
7,0.002152,0.989568,0.992966,0.985807,0.989227,0.619048,0.456259,0.484781,0.465643
8,0.001363,0.994039,0.996841,0.997329,0.997078,0.642857,0.453580,0.472603,0.457735
9,0.000850,0.997019,0.998537,0.998537,0.998537,0.663690,0.531002,0.486434,0.491276
10,0.003545,0.986587,0.993798,0.993034,0.993401,0.595238,0.510416,0.479900,0.481578
11,0.004847,0.980626,0.961427,0.962639,0.961880,0.678571,0.490793,0.490118,0.482953
12,0.005111,0.985097,0.961845,0.957352,0.959449,0.622024,0.569813,0.509491,0.527157
13,0.016567,0.958271,0.950728,0.935757,0.942880,0.571429,0.525248,0.504850,0.497309
14,0.019154,0.919523,0.926562,0.929585,0.927968,0.639881,0.618603,0.499697,0.495201
15,0.005301,0.980626,0.971191,0.974624,0.972863,0.645833,0.474343,0.451573,0.454139
16,0.002260,0.989568,0.981719,0.970686,0.975965,0.654762,0.577820,0.562840,0.566666
17,0.000310,0.998510,0.997585,0.997312,0.997428,0.630952,0.555828,0.492358,0.498673
18,0.001468,0.992548,0.987088,0.987271,0.987160,0.687500,0.599952,0.554016,0.570421
19,0.002664,0.992548,0.980717,0.987034,0.983691,0.651786,0.446541,0.468627,0.447757
20,0.002253,0.989568,0.986802,0.964479,0.974142,0.619048,0.513367,0.540781,0.520318
21,0.000951,0.995529,0.986906,0.985057,0.985972,0.645833,0.507874,0.551648,0.503915
22,0.000213,0.998510,0.990741,0.997549,0.994004,0.666667,0.613778,0.551734,0.572119
23,0.000158,0.998510,0.997354,0.990196,0.993616,0.669643,0.581004,0.533318,0.546986
24,0.000384,0.998510,0.990741,0.997312,0.993883,0.633929,0.464244,0.447400,0.440370
25,0.000320,0.998510,0.997585,0.990196,0.993733,0.666667,0.579693,0.530062,0.542402
26,0.001626,0.997019,0.987508,0.987508,0.987508,0.660714,0.485693,0.466607,0.472126
27,0.002578,0.992548,0.991269,0.993049,0.992150,0.616071,0.511540,0.383775,0.408776
28,0.022419,0.938897,0.946925,0.921671,0.933616,0.639881,0.440090,0.434479,0.427658
29,0.012416,0.955291,0.956274,0.954377,0.955020,0.642857,0.615152,0.480488,0.514630
30,0.009031,0.970194,0.964273,0.958857,0.961455,0.630952,0.464757,0.456782,0.456236
31,0.002950,0.988077,0.988088,0.987734,0.987885,0.654762,0.599670,0.558332,0.553154
32,0.001211,0.998510,0.999398,0.999141,0.999268,0.630952,0.567434,0.546805,0.538391
33,0.004816,0.983607,0.992094,0.989997,0.991034,0.648810,0.580252,0.539181,0.544708
34,0.006279,0.988077,0.991722,0.992064,0.991868,0.583333,0.447679,0.433555,0.424116
35,0.001582,0.992548,0.996228,0.994623,0.995415,0.627976,0.631687,0.473253,0.492972
36,0.000126,1.000000,1.000000,1.000000,1.000000,0.669643,0.592580,0.529329,0.530121
37,0.000043,1.000000,1.000000,1.000000,1.000000,0.669643,0.593003,0.527176,0.533508
38,0.000010,1.000000,1.000000,1.000000,1.000000,0.678571,0.612680,0.537067,0.547908
39,0.000008,1.000000,1.000000,1.000000,1.000000,0.681548,0.619713,0.538283,0.553087
40,0.000007,1.000000,1.000000,1.000000,1.000000,0.681548,0.619713,0.538283,0.553087
41,0.000007,1.000000,1.000000,1.000000,1.000000,0.684524,0.622869,0.539500,0.555409
42,0.000006,1.000000,1.000000,1.000000,1.000000,0.684524,0.622869,0.539500,0.555409
