epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.357776,0.444113,0.260862,0.225581,0.211569,0.645833,0.388449,0.397955,0.352532
1,0.842072,0.704918,0.735989,0.493517,0.494575,0.604167,0.405689,0.408250,0.379528
2,0.478945,0.833085,0.782942,0.699377,0.718628,0.687500,0.579655,0.616444,0.584975
3,0.237051,0.929955,0.913315,0.880590,0.894198,0.684524,0.597778,0.524965,0.551259
4,0.107331,0.962742,0.958792,0.947209,0.952814,0.642857,0.481158,0.469461,0.470683
5,0.126649,0.958271,0.959143,0.945729,0.952145,0.639881,0.522487,0.495818,0.493159
6,0.053694,0.985097,0.987984,0.988231,0.988106,0.651786,0.655609,0.478755,0.495447
7,0.024753,0.994039,0.994490,0.990137,0.992252,0.651786,0.609955,0.553076,0.566722
8,0.011786,0.995529,0.995451,0.995451,0.995451,0.672619,0.558867,0.522083,0.531215
9,0.006128,0.998510,0.999398,0.999141,0.999268,0.705357,0.651465,0.577812,0.596943
10,0.019581,0.997019,0.998537,0.998537,0.998537,0.660714,0.648352,0.517344,0.529266
11,0.019577,0.995529,0.994215,0.992173,0.993183,0.669643,0.580378,0.532713,0.547517
12,0.005287,1.000000,1.000000,1.000000,1.000000,0.687500,0.591568,0.551878,0.558543
13,0.001908,1.000000,1.000000,1.000000,1.000000,0.687500,0.603206,0.527402,0.537386
14,0.001090,1.000000,1.000000,1.000000,1.000000,0.693452,0.603945,0.531341,0.541589
15,0.000869,1.000000,1.000000,1.000000,1.000000,0.693452,0.604695,0.531341,0.542522
16,0.000750,1.000000,1.000000,1.000000,1.000000,0.702381,0.614457,0.542081,0.554507
17,0.000674,1.000000,1.000000,1.000000,1.000000,0.702381,0.614457,0.542081,0.554507
18,0.000614,1.000000,1.000000,1.000000,1.000000,0.705357,0.616329,0.543297,0.555739
19,0.000566,1.000000,1.000000,1.000000,1.000000,0.705357,0.616329,0.543297,0.555739
20,0.000524,1.000000,1.000000,1.000000,1.000000,0.705357,0.616329,0.543297,0.555739
21,0.000489,1.000000,1.000000,1.000000,1.000000,0.705357,0.616329,0.543297,0.555739
22,0.000458,1.000000,1.000000,1.000000,1.000000,0.705357,0.616329,0.543297,0.555739
23,0.000431,1.000000,1.000000,1.000000,1.000000,0.705357,0.616329,0.543297,0.555739
24,0.000407,1.000000,1.000000,1.000000,1.000000,0.705357,0.613294,0.543297,0.554327
25,0.000386,1.000000,1.000000,1.000000,1.000000,0.705357,0.613294,0.543297,0.554327
26,0.000366,1.000000,1.000000,1.000000,1.000000,0.705357,0.613294,0.543297,0.554327
27,0.000349,1.000000,1.000000,1.000000,1.000000,0.708333,0.616454,0.544514,0.556671
28,0.000333,1.000000,1.000000,1.000000,1.000000,0.708333,0.616454,0.544514,0.556671
29,0.000318,1.000000,1.000000,1.000000,1.000000,0.708333,0.616454,0.544514,0.556671
