epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.243396,0.444113,0.257424,0.215637,0.199654,0.616071,0.298305,0.350188,0.320150
1,0.130473,0.628912,0.512480,0.460045,0.470802,0.651786,0.404708,0.414861,0.402929
2,0.074246,0.766021,0.691891,0.611361,0.630282,0.619048,0.433786,0.453362,0.440470
3,0.030505,0.886736,0.846686,0.812020,0.827202,0.595238,0.517156,0.487267,0.484808
4,0.010298,0.950820,0.939548,0.926161,0.932413,0.627976,0.603342,0.548991,0.553034
5,0.007551,0.974665,0.978888,0.974932,0.976864,0.699405,0.735687,0.519953,0.547571
6,0.009791,0.953800,0.953645,0.941438,0.947271,0.642857,0.671479,0.499968,0.518727
7,0.005654,0.973174,0.971718,0.969677,0.970513,0.642857,0.552450,0.496744,0.516151
8,0.002774,0.989568,0.981403,0.971758,0.976386,0.645833,0.524293,0.540952,0.529327
9,0.002090,0.991058,0.994349,0.991009,0.992611,0.642857,0.560263,0.546664,0.548749
10,0.001632,0.992548,0.994247,0.990312,0.992255,0.639881,0.550658,0.525693,0.534646
11,0.000445,0.998510,0.997619,0.999394,0.998497,0.666667,0.574485,0.534075,0.547312
12,0.000366,0.997019,0.996978,0.996978,0.996978,0.675595,0.591647,0.537922,0.555441
13,0.000339,0.998510,0.999396,0.997585,0.998481,0.672619,0.568101,0.540919,0.549795
14,0.000499,0.998510,0.997619,0.999394,0.998497,0.669643,0.588624,0.532062,0.551581
15,0.000322,0.998510,0.999396,0.997585,0.998481,0.675595,0.587794,0.542377,0.558260
16,0.000224,0.998510,0.997619,0.999394,0.998497,0.669643,0.588624,0.532062,0.551581
17,0.000280,0.997019,0.996978,0.996978,0.996978,0.669643,0.588624,0.532062,0.551581
18,0.000370,0.998510,0.999396,0.997585,0.998481,0.669643,0.565755,0.523161,0.538867
19,0.000446,0.998510,0.997619,0.999394,0.998497,0.669643,0.561092,0.527366,0.539662
20,0.000317,0.998510,0.997619,0.999394,0.998497,0.681548,0.587409,0.534641,0.551003
21,0.000852,0.998510,0.999396,0.997585,0.998481,0.660714,0.538931,0.527947,0.530246
22,0.000182,0.998510,0.999396,0.997585,0.998481,0.675595,0.558409,0.532715,0.540326
23,0.000314,0.998510,0.997619,0.999394,0.998497,0.681548,0.599281,0.537914,0.561020
24,0.000462,0.997019,0.996978,0.996978,0.996978,0.684524,0.580790,0.532894,0.551146
25,0.000239,0.997019,0.996978,0.996978,0.996978,0.678571,0.575285,0.530478,0.547412
26,0.000172,0.997019,0.996978,0.996978,0.996978,0.678571,0.577916,0.519906,0.541052
27,0.000202,0.998510,0.999396,0.997585,0.998481,0.678571,0.575552,0.523090,0.542743
28,0.000160,0.998510,0.999396,0.997585,0.998481,0.678571,0.573387,0.530478,0.546662
29,0.000287,0.998510,0.997619,0.999394,0.998497,0.681548,0.578228,0.524808,0.544530
30,0.000211,0.998510,0.999396,0.997585,0.998481,0.678571,0.573088,0.530478,0.546501
31,0.000293,0.998510,0.997619,0.999394,0.998497,0.678571,0.579882,0.519906,0.541386
32,0.000237,0.998510,0.999396,0.997585,0.998481,0.678571,0.573088,0.530478,0.546501
33,0.000213,0.998510,0.997619,0.999394,0.998497,0.678571,0.575511,0.519906,0.540103
34,0.000289,0.998510,0.999396,0.997585,0.998481,0.678571,0.572821,0.530478,0.546349
35,0.000281,0.998510,0.997619,0.999394,0.998497,0.681548,0.574128,0.532197,0.547832
36,0.000253,0.998510,0.999396,0.997585,0.998481,0.675595,0.577153,0.515004,0.536782
37,0.000167,0.997019,0.996978,0.996978,0.996978,0.681548,0.574535,0.532197,0.547297
38,0.000216,0.998510,0.997619,0.999394,0.998497,0.675595,0.572619,0.522393,0.540669
39,0.000190,0.997019,0.996978,0.996978,0.996978,0.675595,0.576783,0.515004,0.536600
40,0.000217,0.998510,0.999396,0.997585,0.998481,0.681548,0.577706,0.532197,0.549148
41,0.000171,0.998510,0.997619,0.999394,0.998497,0.672619,0.569876,0.517491,0.536238
42,0.000189,0.997019,0.996978,0.996978,0.996978,0.675595,0.571576,0.518699,0.537715
43,0.000188,0.998510,0.999396,0.997585,0.998481,0.684524,0.579005,0.533915,0.550621
