epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.301640,0.497445,0.319678,0.257057,0.243127,0.639456,0.443822,0.387511,0.393374
1,0.790785,0.701874,0.554303,0.496381,0.483373,0.673469,0.483081,0.503449,0.472322
2,0.491555,0.822828,0.759707,0.693021,0.712446,0.687075,0.608313,0.457664,0.456416
3,0.184338,0.954003,0.966755,0.911450,0.934553,0.639456,0.533976,0.511090,0.513980
4,0.103605,0.971039,0.972190,0.968375,0.970193,0.676871,0.495906,0.441021,0.446488
5,0.069209,0.974446,0.978309,0.965601,0.971628,0.697279,0.570623,0.526134,0.542594
6,0.027783,0.994889,0.994926,0.997624,0.996257,0.700680,0.555651,0.496471,0.505000
7,0.014879,0.994889,0.994694,0.997881,0.996258,0.717687,0.617353,0.498008,0.514295
8,0.011344,0.994889,0.997908,0.994601,0.996224,0.697279,0.513250,0.474509,0.478664
9,0.011319,0.993186,0.993911,0.994409,0.994151,0.707483,0.550259,0.479798,0.484727
10,0.009537,0.993186,0.994427,0.993895,0.994152,0.707483,0.564033,0.474512,0.480064
11,0.017245,0.993186,0.994217,0.996661,0.995420,0.704082,0.543943,0.477860,0.481369
12,0.018537,0.994889,0.997630,0.994858,0.996225,0.714286,0.538395,0.494292,0.487377
13,0.015443,0.989779,0.992482,0.992482,0.992482,0.687075,0.487885,0.473710,0.474550
14,0.010406,0.993186,0.993911,0.994409,0.994151,0.704082,0.569598,0.463881,0.472420
15,0.009463,0.993186,0.996672,0.994152,0.995392,0.710884,0.566615,0.470144,0.474853
16,0.010350,0.989779,0.992482,0.992482,0.992482,0.700680,0.511069,0.470110,0.475254
17,0.009836,0.994889,0.995192,0.997367,0.996256,0.700680,0.501285,0.468820,0.470545
18,0.008914,0.993186,0.993971,0.996918,0.995422,0.704082,0.564558,0.471809,0.476261
19,0.011895,0.993186,0.993911,0.994409,0.994151,0.704082,0.533036,0.471284,0.472424
20,0.009686,0.994889,0.997908,0.994601,0.996224,0.700680,0.529574,0.463805,0.466064
21,0.010361,0.994889,0.997908,0.994601,0.996224,0.700680,0.499814,0.478595,0.475721
22,0.008952,0.994889,0.997386,0.995115,0.996226,0.707483,0.513597,0.482471,0.481014
23,0.007979,0.994889,0.994926,0.997624,0.996257,0.700680,0.503121,0.478038,0.479729
24,0.008292,0.994889,0.995192,0.997367,0.996256,0.700680,0.504150,0.469346,0.469317
25,0.008632,0.994889,0.994694,0.997881,0.996258,0.707483,0.534370,0.473222,0.474045
