epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.238492,0.409836,0.202167,0.215594,0.204580,0.485119,0.263639,0.224017,0.193679
1,0.163410,0.567809,0.390225,0.359781,0.354097,0.642857,0.404735,0.412183,0.373261
2,0.118741,0.676602,0.580383,0.516116,0.531429,0.645833,0.461916,0.447500,0.439268
3,0.100795,0.695976,0.620194,0.551432,0.570265,0.660714,0.464215,0.436250,0.430025
4,0.079064,0.766021,0.753823,0.663889,0.682462,0.654762,0.495830,0.435348,0.434703
5,0.056366,0.806259,0.799145,0.720654,0.747596,0.663690,0.506679,0.493070,0.475832
