epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.238415,0.451448,0.273147,0.228365,0.208141,0.520408,0.375322,0.388886,0.355010
1,0.134580,0.684838,0.639467,0.486676,0.501571,0.619048,0.505365,0.460040,0.464635
2,0.068785,0.788756,0.773299,0.644327,0.683345,0.642857,0.548418,0.536500,0.530677
3,0.019304,0.945486,0.952145,0.929325,0.939789,0.676871,0.681102,0.549523,0.561035
4,0.005322,0.982964,0.987977,0.983321,0.985565,0.680272,0.554799,0.501408,0.519290
5,0.001441,0.998296,0.999037,0.999294,0.999163,0.663265,0.538045,0.498474,0.513518
6,0.000447,0.998296,0.999297,0.999031,0.999162,0.659864,0.568955,0.495673,0.512432
7,0.000303,0.998296,0.999297,0.999031,0.999162,0.666667,0.569296,0.497506,0.513231
8,0.000948,0.998296,0.999037,0.999294,0.999163,0.683673,0.580486,0.504568,0.520458
9,0.001568,0.998296,0.999297,0.999031,0.999162,0.619048,0.544158,0.497454,0.506073
10,0.000461,0.998296,0.999297,0.999031,0.999162,0.687075,0.574647,0.511512,0.528819
11,0.000599,0.998296,0.999037,0.999294,0.999163,0.666667,0.550524,0.493242,0.511451
12,0.000643,0.998296,0.999297,0.999031,0.999162,0.673469,0.563016,0.500688,0.520057
13,0.000263,0.998296,0.999297,0.999031,0.999162,0.683673,0.575666,0.513502,0.533350
14,0.000381,0.998296,0.999037,0.999294,0.999163,0.690476,0.583211,0.524613,0.542461
15,0.000277,0.998296,0.999297,0.999031,0.999162,0.687075,0.581375,0.517548,0.537629
16,0.000296,0.998296,0.999037,0.999294,0.999163,0.690476,0.579475,0.524613,0.540897
17,0.000229,0.998296,0.999297,0.999031,0.999162,0.676871,0.570940,0.512304,0.531012
18,0.000298,0.996593,0.998325,0.998325,0.998325,0.690476,0.579475,0.524613,0.540897
19,0.000217,0.996593,0.998325,0.998325,0.998325,0.687075,0.578669,0.522194,0.539338
20,0.000207,0.998296,0.999297,0.999031,0.999162,0.687075,0.578669,0.522194,0.539338
21,0.000251,0.998296,0.999297,0.999031,0.999162,0.690476,0.579475,0.524613,0.540897
22,0.000402,0.998296,0.999037,0.999294,0.999163,0.690476,0.576682,0.525116,0.540524
23,0.000204,0.998296,0.999297,0.999031,0.999162,0.683673,0.571574,0.513740,0.531014
