epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.202492,0.528109,0.353918,0.300966,0.303670,0.591837,0.450631,0.396016,0.344152
1,0.104011,0.735945,0.545403,0.503627,0.497318,0.683673,0.692474,0.514877,0.522702
2,0.043641,0.836457,0.821901,0.744591,0.773906,0.697279,0.601240,0.563229,0.574379
3,0.021114,0.933560,0.926639,0.903952,0.913811,0.697279,0.653049,0.590236,0.613618
4,0.013291,0.952300,0.943387,0.930811,0.936761,0.690476,0.702592,0.552952,0.579358
5,0.008668,0.959114,0.957545,0.954915,0.956211,0.683673,0.688726,0.529020,0.544603
6,0.003268,0.979557,0.988192,0.984997,0.986543,0.683673,0.659056,0.580526,0.603262
7,0.001133,0.994889,0.997636,0.994619,0.996106,0.700680,0.665196,0.592833,0.619788
8,0.000498,0.998296,0.999311,0.999014,0.999160,0.690476,0.693812,0.591818,0.622615
9,0.000900,0.996593,0.998322,0.998322,0.998322,0.690476,0.690988,0.556867,0.593861
10,0.000327,0.998296,0.999311,0.999014,0.999160,0.697279,0.701138,0.573697,0.609161
11,0.000818,0.998296,0.999020,0.999308,0.999162,0.693878,0.689144,0.561162,0.595787
12,0.001205,0.998296,0.999311,0.999014,0.999160,0.697279,0.693405,0.568999,0.601175
13,0.000456,0.998296,0.999311,0.999014,0.999160,0.700680,0.702221,0.576245,0.609378
14,0.000330,0.996593,0.998322,0.998322,0.998322,0.693878,0.692836,0.557082,0.591576
15,0.000237,0.996593,0.998322,0.998322,0.998322,0.704082,0.701859,0.567670,0.601947
16,0.000188,0.998296,0.999311,0.999014,0.999160,0.700680,0.710625,0.572162,0.610546
17,0.000285,0.996593,0.998322,0.998322,0.998322,0.693878,0.660296,0.564117,0.595685
18,0.000222,0.998296,0.999020,0.999308,0.999162,0.693878,0.660296,0.564117,0.595685
19,0.000251,0.996593,0.998322,0.998322,0.998322,0.697279,0.661745,0.566078,0.597482
20,0.000150,1.000000,1.000000,1.000000,1.000000,0.697279,0.655171,0.559043,0.588646
21,0.000341,0.998296,0.999311,0.999014,0.999160,0.697279,0.661745,0.566078,0.597482
22,0.000125,1.000000,1.000000,1.000000,1.000000,0.700680,0.657591,0.570373,0.598478
23,0.000280,0.998296,0.999020,0.999308,0.999162,0.697279,0.661745,0.566078,0.597482
24,0.000260,0.998296,0.999311,0.999014,0.999160,0.693878,0.660026,0.564701,0.596022
25,0.000187,0.998296,0.999020,0.999308,0.999162,0.697279,0.656795,0.566662,0.596044
26,0.000243,0.998296,0.999020,0.999308,0.999162,0.693878,0.655483,0.559412,0.590420
27,0.000258,0.996593,0.998322,0.998322,0.998322,0.693878,0.655483,0.559412,0.590420
28,0.000321,0.996593,0.998322,0.998322,0.998322,0.693878,0.655483,0.559412,0.590420
